,Provider,Fraud_Probability,Top1_Feature,Top1_SHAP,Top2_Feature,Top2_SHAP,Top3_Feature,Top3_SHAP,Fraud_Probability_Percent,Top1_ActualValue,Top2_ActualValue,Top3_ActualValue
0,PRV52145,0.018643573,Provider_Insurance_Claim_Reimbursement_Amt,-1.03007,prv_avg_claims_indicator,-0.58685684,DeductibleAmtPaid_sum,-0.49869168,1.8643572,60910.0,1.0381355932203389,650.0
1,PRV55104,0.016716732,Provider_Insurance_Claim_Reimbursement_Amt,-1.9471043,DeductibleAmtPaid_sum,-0.67606115,HospitalDuration_max,-0.26311222,1.6716732,14880.0,380.0,
2,PRV54894,0.9826047,Provider_Insurance_Claim_Reimbursement_Amt,2.2805052,HospitalDuration_max,0.655633,OperatingPhysician_nunique,0.23421142,98.26047,1757060.0,35.0,31.0
3,PRV54927,0.0039851777,Provider_Insurance_Claim_Reimbursement_Amt,-1.7847034,DeductibleAmtPaid_sum,-0.7273244,prv_avg_claims_indicator,-0.43626833,0.3985178,22600.0,50.0,1.0851063829787233
4,PRV55215,0.9836947,Provider_Insurance_Claim_Reimbursement_Amt,2.404095,HospitalDuration_max,0.53566766,HospitalDuration_sum,-0.2563185,98.36947,2284560.0,34.0,792.0
5,PRV54950,0.7943298,HospitalDuration_max,1.0934556,prv_avg_claims_indicator,-0.6177016,HospitalDuration_std,0.60556495,79.43298,27.0,1.0,10.059821071967432
6,PRV57317,0.981709,Provider_Insurance_Claim_Reimbursement_Amt,2.511147,HospitalDuration_max,0.57022184,ClmAdmitDiagnosisCode_Count,0.27503398,98.1709,926330.0,22.0,164.0
7,PRV57333,0.14607726,Provider_Insurance_Claim_Reimbursement_Amt,0.8367623,HospitalDuration_max,-0.40975899,ChronicCond_Heartfailure_mean,-0.3864711,14.607726,291020.0,,0.5278884462151394
8,PRV53100,0.06186097,Provider_Insurance_Claim_Reimbursement_Amt,-0.8254585,HospitalDuration_max,-0.6974722,HospitalDuration_std,-0.45165017,6.186097,86880.0,9.0,3.847076812334269
9,PRV56021,0.014878647,Provider_Insurance_Claim_Reimbursement_Amt,-1.2801886,DeductibleAmtPaid_sum,-0.6914906,prv_avg_claims_indicator,-0.4709457,1.4878647,39920.0,150.0,1.032258064516129
10,PRV55969,0.4077246,Provider_Insurance_Claim_Reimbursement_Amt,0.9246774,Avg_InscClaimAmtReimbursed_Per_Provider,-0.3594321,HospitalDuration_max,-0.33965543,40.772457,204140.0,4790.087209302325,
11,PRV55768,0.016555808,Provider_Insurance_Claim_Reimbursement_Amt,-1.8350425,DeductibleAmtPaid_sum,-0.5661219,ChronicCond_KidneyDisease_mean,-0.5136281,1.6555809,24570.0,260.0,0.203125
12,PRV52844,0.016359422,Provider_Insurance_Claim_Reimbursement_Amt,-1.354675,HospitalDuration_max,-0.683029,HospitalDuration_std,-0.50190926,1.6359422,46950.0,3.0,0.7071067811865476
13,PRV51574,0.99003696,Provider_Insurance_Claim_Reimbursement_Amt,2.3535395,prv_avg_claims_indicator,0.84706944,DeductibleAmtPaid_sum,0.31066555,99.00369,1281810.0,2.5912536443148686,12290.0
14,PRV55503,0.1980682,Provider_Insurance_Claim_Reimbursement_Amt,0.82987875,HospitalDuration_max,-0.8177343,prv_avg_claims_indicator,0.44704947,19.80682,188780.0,4.0,2.020066889632107
15,PRV53256,0.25257128,Provider_Insurance_Claim_Reimbursement_Amt,1.3140273,HospitalDuration_max,-0.7852349,HospitalDuration_std,-0.398022,25.257128,458710.0,15.0,3.5050983275386565
16,PRV54985,0.0422906,Provider_Insurance_Claim_Reimbursement_Amt,-0.94829017,prv_avg_claims_indicator,-0.5579594,DeductibleAmtPaid_sum,-0.5044719,4.2290597,63340.0,1.0985221674876848,860.0
17,PRV54238,0.19072832,prv_avg_claims_indicator,0.7943447,DeductibleAmtPaid_sum,-0.4443839,HospitalDuration_max,-0.3719535,19.072832,2.2745098039215685,900.0,
18,PRV54320,0.013111864,Provider_Insurance_Claim_Reimbursement_Amt,-1.965637,DeductibleAmtPaid_sum,-0.7650383,prv_avg_claims_indicator,0.26291817,1.3111864,21760.0,180.0,2.3181818181818183
19,PRV51140,0.70137846,Provider_Insurance_Claim_Reimbursement_Amt,1.2351772,HospitalDuration_max,0.5773674,HospitalDuration_sum,-0.50114864,70.13785,453130.0,29.0,283.0
